en,ig
Raise window above other windows,Welite n'elu windo ndị ọzọ
Lower window below other windows,Budata windo n'okpuru windo ndị ọzọ
Maximize window vertically,Bawanye windo n'ụdị vatikal
Maximize window horizontally,Bawanye windo n'ụdị horizontal
Move window to north-west (top left) corner,Kpụga windo n'otu wọ́kspēèsì n'akaekpe
Move window to north-east (top right) corner,Kpụga windo n'otu wọ́kspēèsì n'akanri
Move window to center of screen,Kpụga windo n'otu wọ́kspēèsì ala
Modifier to use for modified window click actions,Omemmegharị ga-eji maka mmem ọ̀pị̀pị́ windo mmegharị
"Clicking a window while holding down this modifier key will move the window (left click), resize the window (middle click), or show the window menu (right click). The left and right operations may be swapped using the ""mouse_button_resize"" key. Modifier is expressed as ""lt;Altgt;"" or ""lt;Supergt;"" for example.","Ịpị windo mgbe ijigidere kíì omemmegharị a ga-akpụgha windo (pịa n'akaekpe), megharịa ụhara windo (pịa n'etiti), mọọbụ gosi windo menu (pịa n'akanri). A kọwara omemmegharị dịka ""lt;Altgt;"" mọọbụ ""lt;Supergt;"" ọmụmatụ."
Arrangement of buttons on the titlebar,Nhazi nke bọtịn ndị ahụ na taịtụlbaa
"Arrangement of buttons on the titlebar. The value should be a string, such as ""menu:minimize,maximize,spacer,close""; the colon separates the left corner of the window from the right corner, and the button names are comma-separated. Duplicate buttons are not allowed. Unknown button names are silently ignored so that buttons can be added in future metacity versions without breaking older versions. A special spacer tag can be used to insert some space between two adjacent buttons.","Nhazi nke bọtịn ndị ahụ na taịtụlbaa. Valiu ahụ ga-abụ ahịrịokwu, dịka ""menu:minimize,maximize,close""; kpọm elu na ala kewara akụkụ akaekpe nke windo site n'akụkụ akanri, rịkọm kewasị̤rị aha bọtịnị ndị ahụ. anabataghị ídùplìkéètì bọtịnị ndị ahụ. E ji nwayọọ leghara bọtịnị ndị a na-amaghị anya ka agbakwunye bọtịnị ahụ na-agbanke metacity na ndịniihu na-akwụsịtụghị agbanke ochie."
Window focus mode,Móòdù fókọ́ọ̀sụ̀ windo
"The window focus mode indicates how windows are activated. It has three possible values; ""click"" means windows must be clicked in order to focus them, ""sloppy"" means windows are focused when the mouse enters the window, and ""mouse"" means windows are focused when the mouse enters the window and unfocused when the mouse leaves the window.","Windo fókọ́ọ̀sụ̀ móòdù na-egosi etu windo arụ ọrụ. Onwere uru atọ dị omume; ""click"" pụtara na a ga-apịnye windo ndị ahụ ka é fókọ́ọ̀sụ̀ọ́ na ha, ""sloppy"" pụtara na é fōkọ́ọ̀sụ̀rụ̀ na windo ndị ahụ mgbe máụ̀sụ̀ banyere na windo, nakwa ""mouse"" pụtara na é fōkọ́ọ̀sụ̀rụ̀ windo mgbe máụ̀sụ̀ banyere na windo ahụ ma ọ̀nfókọ́ọ̀sụ̀ọ́ mgbe máụ̀sụ̀ ahụ hapụrụ windo ahụ."
Action on title bar double-click,Mmem na taịtụl báà pịa-mpịkwasa
Action on title bar middle-click,Mmem na taịtụl báà pịa-mpịkwasa
Action on title bar right-click,Mmem na taịtụl báà pịa-mpịkwasa
Automatically raises the focused window,Ji aka ya welite windo ebe fōkọ́ọ̀sụ̀rụ̀
"If set to true, and the focus mode is either ""sloppy"" or ""mouse"" then the focused window will be automatically raised after a delay specified by the auto_raise_delay key. This is not related to clicking on a window to raise it, nor to entering a window during drag-and-drop.","Ọ bụrụ na ọ bu eziokwu, nakwa fókọ́ọ̀sụ̀ móòdù ahụ nwereike bụrụ ""sloppy"" mọọbụ ""mouse"" mgbe ahụ windo fókọ́ọ̀sụ̀ ga eji aka ya welite onwe ya n'ogbugbu oge ahụ (Ezipụtara ogbugbu oge ahụ site na kíì auto_raise_delay)."
Delay in milliseconds for the auto raise option,Ogbugbu oge na milisekọndụ ndị ahụ maka ihenhọrọ nwelite nkeonwe
The time delay before raising a window if auto_raise is set to true. The delay is given in thousandths of a second.,Oge egburu tupuu nwelite windo ọ bụrụ na auto_raise na ahaziri ya ka ọ bụrụ eziokwu. A ga-enye ogbugbu oge ahụ na tawụzan nke otu sekọndụ.
Current theme,Isiokwu ọfụụ
"The theme determines the appearance of window borders, titlebar, and so forth.","Isiokwu ahụ na-ezipụta ngosipụta agbata windo, taịtụlbáà, na ndị ọzọ."
Use standard system font in window titles,Jiri sistem ihumkpụrụedemede nke bụ ákpụ̀ n'isiokwu windo ndị ahụ
"If true, ignore the titlebar_font option, and use the standard application font for window titles.","Ọ bụrụ na ọ bụ eziokwu, leghara nhọrọ tittlebar_font anya, ma jiri ihumkpụrụedemede usoroiheomume anabatara maka isiokwu windo ndị ahụ."
Window title font,Ihumkpụrụedemede isiokwu windo
"A font description string describing a font for window titlebars. The size from the description will only be used if the titlebar_font_size option is set to 0. Also, this option is disabled if the titlebar_uses_desktop_font option is set to true.","Ihumkpụrụedemede nkọwa ahịrịokwu na-akọwa ihumkpụrụedemede maka windo taịtụlbáà ndị ahụ .A ga-eji sọsọ ụhara site na nkọwa ma ọ bụrụ na a haziri ihenhọrọ tittlebar_font_size na 0, Ka a na-aga. Tinyekwara, ihenhọrọ a ga-emebi ma ọ bụru na a haziri ihenhọrọ tittlebar_uses_desktop_font nà eziokwu.Site na dìfọ́ọ̀ltụ̀, a hazibeghị tittlebar_font, na-ebutere metacity ńdábèghàchí n'ihumkpụrụedemede desktọ́ọ̀pụ̀ ọbụnagodi ma tittlbar_uses_desktop_font ọ bụ asị."
Number of workspaces,Ọnụọgụgụ wọ́kspēèsì
"Number of workspaces. Must be more than zero, and has a fixed maximum to prevent making the desktop unusable by accidentally asking for too many workspaces.","Ọnụọgụgụ wọ́kspēèsì. Ga-akarịrị nkịtị, ma nwe nwelite na-enweghị mgbanwe (N'igbochi n'inyo mebie desktọ́ọ̀pụ̀ gị site n'ịjụ maka 34 miliọn wọ́kspēèsì ndị ahụ)."
Enable Visual Bell,Na-ekwe mgbịrịgba nlechapụta
Turns on a visual indication when an application or the system issues a 'bell' or 'beep'; useful for the hard-of-hearing and for use in noisy environments.,"N'atụgharị ná ngosi ihenlereanya mgbe usoroiheomume mọọbụ ozi sistem nke bụ̄ 'mgbịrịngba' mọọbụ 'ọ̀kụ́kụ́'; na-aba uru maka ịnụsị-ihe-ike nakwa iji ya n'ebe ụ̀zụ̀ dị̀, mọọbụ mgbe 'mgbịrịgba ndasiike' kwụsịrị."
System Bell is Audible,Bell sistem n'ada ụda
Determines whether applications or the system can generate audible 'beeps'; may be used in conjunction with 'visual bell' to allow silent 'beeps'.,ga-ekwu ma usoroiheomume mọọbụ sistem ahụ ga-ewepụta nnukwu 'ụda'; nwere ike jiri na njikọ nke ya na 'mgbịrịgba nlechapụta' ka ekwe 'ọ̀wụ̀' bata.
Visual Bell Type,Ụdị mgbịrịgba ihenlereanya
"Tells Metacity how to implement the visual indication that the system bell or another application 'bell' indicator has been rung. Currently there are two valid values, ""fullscreen"", which causes a fullscreen white-black flash, and ""frame_flash"" which causes the titlebar of the application which sent the bell signal to flash. If the application which sent the bell is unknown (as is usually the case for the default ""system beep""), the currently focused window's titlebar is flashed.","Na-agwa Metacity etu ọ ga-esi mepụta ngosi nlechapụta na sistem mgbịrịgba mọọbụ usoroiheomume ọzọ 'mgbịrịgba' akụọla ngwaọrụ ngosi. Ugbua e nwere valiu nwereisi abụọ, ""fullscreen"", nke n'ebutere njupụtainyogo waịt-blak flashị, na ""frame_flash"" nke n'ebutere taịtụlbáà nke usoroiheomume nke zigara signáàlụ̀ mgbịrịgba ahụ na flashị. Ọ bụrụ na-amaghị usoroiheomume nke zigara mgbịrịgba ahụ (Ka ọ dị bu kéèsì maka dìfọ́ọ̀ltụ̀ ""system beep""), A fláàshị̀rị̀ windo fókọ́ọ̀sụ̀ taịtụlbáà nọ mgbe ahụ."
Name of workspace,Aha wọ́kspēèsì
The name of a workspace.,Aha wọ́kspéèsì.
"If true, trade off usability for less resource usage","Ọ bụrụ na ọ bụ eziokwu, tréèdìá ọ́ọ̀fụ̀ njieme maka mbelata nsirinweta njieme"
"If true, metacity will give the user less feedback by using wireframes, avoiding animations, or other means. This is a significant reduction in usability for many users, but may allow legacy applications to continue working, and may also be a useful tradeoff for terminal servers. However, the wireframe feature is disabled when accessibility is on.","Ọ bụrụ na ọ bụ eziokwu, metacity ga-enye ojieme nzighachi na echiche n'ejughị afọ nke ""direct manipulation"", site n'iji wáyáfréms, na-ezere animeshiọn, mọọbụ n'ụzọ ọzọ.Nke a bụ nwebilata na njieme maka ndị ojieme, ma nwe ike ihapụ usoroiheomume ochie na sava ngwaọrụ mbupụ na mbubataozi ka ha rụwa ọrụ ebe kama ha ekwesịghị ịrụ ọrụ. Ka ọ na-aga, emebiri iheọrụ wáyáfrém ahụ mgbe ikikembanye na-arụ ọrụ ka e zere mmebi desktọ́ọ̀pụ̀ ochie."
Run a defined command,Bido ntiiwu a kọwara akọwa
"The keybinding that runs the correspondingly-numbered command in /apps/metacity/keybinding_commands The format looks like ""lt;Controlgt;a"" or ""lt;Shiftgt;lt;Altgt;F1"". The parser is fairly liberal and allows lower or upper case, and also abbreviations such as ""lt;Ctlgt;"" and ""lt;Ctrlgt;"". If you set the option to the special string ""disabled"", then there will be no keybinding for this action.","Kiibaịndịn ahụ nke na-ebido ntiiiwu ọnụọgụgụ na-adaba adaba na /apps/metacity/keybinding_commands Ọdịdị ahụ dị̀kà ""lt;Controlgt;a"" mọọbụ""lt;Shiftgt;lt;Altgt;F1"".Ọtọsa ngwe dị̀ líbrààlụ̀ ma hapụ kéèsì nke ala mọọbụ nke elu, ya na inwe mkpọbiri aha dịka ""lt;Ctlgt;"" na ""lt;Ctrlgt;"" Ọ bụrụ n'ihazie ihenhọrọ niile ahụ n'ahịrịokwu pụrụ iche ""disabled"", mgbe ahụ agaghị enwe kiibaịndịn maka mmem a."
Commands to run in response to keybindings,Ntiiwu iji bido na nzighachi na kíìbaịndịn ndị ahụ
The /apps/metacity/global_keybindings/run_command_N keys define keybindings that correspond to these commands. Pressing the keybinding for run_command_N will execute command_N.,/apps/metacity/global_keybindings/run_command_N Kii ahụ nke na-akọwa kiibaịndịn ndị ahụ nke na-adaba ntiiwu ndị a. Ịpị kiibaịndịn maka run_command_N ga-emepụta command_N.
The screenshot command,Skrììnshọ́ọ̀tụ̀ọ́ ntiiwu
The /apps/metacity/global_keybindings/run_command_screenshot key defines a keybinding which causes the command specified by this setting to be invoked.,/apps/metacity/global_keybindings/run_command_screenshot Kii ahụ na-akọwa kiibaịdịn nke n'ebute ntiiwu ezipụtara site na nhazi à á ga-atụtegharị.
The window screenshot command,Windo ahụ skrììnshọ́ọ̀tụ̀rụ̀ ntiiwu
The /apps/metacity/global_keybindings/run_command_window_screenshot key defines a keybinding which causes the command specified by this setting to be invoked.,/apps/metacity/global_keybindings/run_command_window_screenshot Kii na-akọwa kiibaịndịn nke n'ebute ntiiwu ezipụtara site na nhazi à á ga-atụtegharị.
(Not implemented) Navigation works in terms of applications not windows,(Ewepụtaghị ya) Ngagharị n'arụ ọrụ dịka usoroiheomume ọ bụghị Windo
"If true, then Metacity works in terms of applications rather than windows. The concept is a bit abstract, but in general an application-based setup is more like the Mac and less like Windows. When you focus a window in application-based mode, all the windows in the application will be raised. Also, in application-based mode, focus clicks are not passed through to windows in other applications. Application-based mode is, however, largely unimplemented at the moment.","Ọ bụrụ na ọ bụ eziokwu, Metacity ga-arụ ọrụ dịka nke usoroiheomume karia nke windo. echiche ahụ dị̀tụ̀ nwa abstraktị, mana abịa na zurugbezurugbe nrụnye béèzì-usoroiheomume dịka Mac ma belata dịka windo. Mgbe ị fōkọ́ọ̀sụ̀rụ̀ windo móòdù béèzì-usoriheomume, a ga-ewelite windo niile ahụ nọ n'ime usoroiheomume, Ọzọkwa, na moodu béèzì-usoroiheomume, ọpịpị fokọọsụ anaghị agafe na windo ndị ahụ n'usoroiheomume ndị ọzọ. Ọdịdị nke nhazi a nwere obere ajụjụ. Mana ọ ka mma inwe nhazi maka ndesịta mmem kpọmkwem nke nhazi nke béèzì-usoroiheomume nà. béèzì-windo, ọmụmatụ. ma ọ bụ igakwa na ọ̀pị̀pị̀. Ọzọkwa, ewepụtaghị móòdù béèzì-usoroiheomume buru ibu n'oge ahụ."
Disable misfeatures that are required by old or broken applications,Enweghị iheọrụ mabiri emebi nke achọrọ site na nke ochie mọọbụ nkwụsị usoroiheomume ndị ahụ
Usage: %s,Njieme: %s
Close Window,Mechie Windo
Window Menu,Windo menu
Minimize Window,Webilata Windo
Maximize Window,Bawanye Windo
Restore Window,Megharịa ụhara windo
Roll Up Window,Mkpụli_elu
Unroll Window,Mechie Windo
Always On Visible Workspace,_Na-anọkarị na wọ́kspéèsì a hụrụ anya
Put Window On Only One Workspace,Pịa windo na wọ́kspéèsì niile
Mi_nimize,We_bilata
Ma_ximize,Ba_wanye
Unma_ximize,Webil_ataụhara
Roll _Up,Mkpụli_elu
_Unroll,_Sáwàpụ̀tá
_Move,_Kpụghaa
_Resize,_Mmegharị ụhara
_Always on Visible Workspace,_Na-anọkarị na wọ́kspéèsì a hụrụ anya
_Only on This Workspace,_Sọsọ na wọ́kspéèsì a
Move to Workspace _Left,Kpụga na wọ́kspéèsì _akaekpe
Move to Workspace R_ight,Kpụga na wọ́kspéèsì a_kanri
Move to Workspace _Up,Kpụga na wọ́kspéèsì _elu
Move to Workspace _Down,Kpụga na wọ́kspéèsì _ala
_Close,_Mechie
Workspace %d%n,Wọ́kspéèsì %d
Workspace 1_0,Wọ́kspéèsì 1_0
Workspace %s%d,Wọ́kspéèsì %s%d
Move to Another _Workspace,Kpụga na _wọ́kspéèsì ọzọ
Shift,Kpụkeje
Ctrl,Ctrl
Alt,Alt
Meta,Meta
Super,Ike
Hyper,Haịpa
Mod2,Mọd2
Mod3,Mọd3
Mod4,Mọd4
Mod5,Mọd5
%d x %d,%d x %d
top,Elu
bottom,Okpuru
left,Akaekpe
right,Akanri
"frame geometry does not specify ""%s"" dimension","Jiometịrị fréèmù ezipụtaghị ""%s"" mpaghara"
"frame geometry does not specify dimension ""%s"" for border ""%s""","Jiometịrị fréèmù ezipụtaghị mpaghara ""%s"" maka agbata ""%s"""
Button aspect ratio %g is not reasonable,Bọtịn aspektị reshio %g abụghị nke echere n'echiche
Frame geometry does not specify size of buttons,Jiometịrị fréèmù ezipụtaghị ụhara nke bọtịn
Gradients should have at least two colors,Mmakọ ụcha kwesịrị inwe ọbụnaghị ụcha abụọ
"GTK color specification must have the state in brackets, e.g. gtk:fg[NORMAL] where NORMAL is the state; could not parse ""%s""","GTK nzipụta ụcha ga-enwe ọnọdụ n'ụdị akara mmechi, ọmụmaatụ. gtk:fg[NORMAL] ebe NỌ́MÁÀLỤ̀ bụ ọnọdụ; agaghị enwenwu ike ịtọsasi ""%s"""
"GTK color specification must have a close bracket after the state, e.g. gtk:fg[NORMAL] where NORMAL is the state; could not parse ""%s""","GTK nzipụta ụcha ga-enwe akara mmechi ma agachaa ọnọdụ, ọmụmaatụ. gtk:fg[NORMAL] ebe NỌ́MÁÀLỤ̀ bụ ọnọdụ; agaghị enwenwu ike ịtọsasi ""%s"""
"Did not understand state ""%s"" in color specification","Aghọtaghị ọnọdụ ""%s"" na nzipụta ụcha"
"Did not understand color component ""%s"" in color specification","Aghọtaghị ọnọdụ mpaghara ụcha ""%s"" na nzipụta ụcha"
"Blend format is ""blend/bg_color/fg_color/alpha"", ""%s"" does not fit the format","Mmezie ọdịdị bụ ""blend/bg_color/fg_color/alpha"", ""%s"" ọdabaghị n'ọdịdị"
"Could not parse alpha value ""%s"" in blended color","Agaghị atọsasị uru alpha ""%s"" n'ụcha amakọrọ ọfụma"
"Alpha value ""%s"" in blended color is not between 0.0 and 1.0","Valiu alpha ""%s"" n'ụcha amakọrọ ọfụma anọghị n'etiti 0.0 na 1.0"
"Shade format is ""shade/base_color/factor"", ""%s"" does not fit the format","Ọdịdị shéèdì bụ ""shade/base_color/factor"", ""%s"" ọdaghị n'ọnọdụ"
"Could not parse shade factor ""%s"" in shaded color","Agaghị atọsasịnwu faktọ shéèdì ""%s"" n'ụcha éshéèdị̀rị̀ èshéèdị̀"
"Shade factor ""%s"" in shaded color is negative","Shéèdị̀ faktọ ""%s"" n'ụcha éshéèdị̀rị̀ èshéèdì dị negetíìvù"
"Could not parse color ""%s""","Agaghị atọsasịnwu ụcha ""%s"""
Coordinate expression contains character '%s' which is not allowed,Chịkọlata nkọwa nwere mkpụrụokwu '%s' nke a na-anabataghị
Coordinate expression contains floating point number '%s' which could not be parsed,Chịkọlata nkọwa nwere ọnụọgụgụ pọịntị n'ehu ehu '%s' nke ga-agaghị enwenwu ike ntọsasị
Coordinate expression contains integer '%s' which could not be parsed,Chịkọlata nkọwa nwere ịntiga '%s' nke ga-agaghị enwenwu ike ntọsasị
"Coordinate expression contained unknown operator at the start of this text: ""%s""","Chịkọlata nkọwa nwere òpèrétọ̀ á ná-ámághị́ na mbido nke ngwe a: ""%s"""
Coordinate expression was empty or not understood,nchịkọlata nkọwa ghè óghē mọọbụ na aghọtaghị ya
Coordinate expression results in division by zero,Mpụtara nchịkọlata nkọwa na nkewa site na zero
Coordinate expression tries to use mod operator on a floating-point number,Nchịkọlata nkọwa nà-ánwà iji ọ̀pèrétọ̀ mood n'ọnụọgụgụ pọịntị-n'éhū èhù
"Coordinate expression has an operator ""%s"" where an operand was expected","Nchịkọlata nkọwa nwere ọ̀pèrétọ̀ ""%s"" ebe achọrọ ópērándị̀"
Coordinate expression had an operand where an operator was expected,Nchịkọlata nkọwa nwere ópērándị̀ ebe achọrọ ọ̀pèrètọ̀
Coordinate expression ended with an operator instead of an operand,Nchịkọlata nkọwa gwụrụ ya na òpèrétọ̀ kama ópērándị̀
"Coordinate expression has operator ""%c"" following operator ""%c"" with no operand in between","Nchịkọlata nkọwa nwere ọ̀pèrétọ̀ ""%c"" na-eso ọ̀pèrétọ̀ ""%c"" ya na onweghị ópērándị̀ n'etiti"
"Coordinate expression had unknown variable or constant ""%s""","Nchịkọlata nkọwa nwere mgbanwe mọọbụ nke na-enweghị mgbanwe a na-amaghị ""%s"""
Coordinate expression parser overflowed its buffer.,nchịkọlata nkọwa ghè óghē mọọbụ na aghọtaghị ya
Coordinate expression had a close parenthesis with no open parenthesis,Nchịkọlata nkọwa nwere mmechi okwu mgbakwunye ya na enweghị mmepe okwu mgbakwunye
Coordinate expression had an open parenthesis with no close parenthesis,Nchịkọlata nkọwa nwere mmepe okwu mgbakwunye ya na enweghị mmechi okwu mgbakwunye
Coordinate expression doesn't seem to have any operators or operands,Nchịkọlata nkọwa adịghị ka onwere ọ̀pèrétọ̀ mọọbụ ópērándị̀ ndị ahụ
Theme contained an expression that resulted in an error: %s,"Isiokwu nwere nkọwa ""%s"" nke butere ndehie: %s"
must be specified for this frame style,A ga-ezipụtarịrị maka ọdịdị fréèmù a
Missing,Ọ na-efu efu
"Failed to load theme ""%s"": %s","Ọdịda n'ịdebata isiokwu ""%s"": %s"
"No set for theme ""%s""","Enweghi nhazi maka isiokwu ""%s"""
"No frame style set for window type ""%s"" in theme ""%s"", add a element","Enweghị ọdịdị fréèmù ekpokọrọ maka ụdị windo ""%s"" n'isiokwu ""%s"", tinye elementị"
"User-defined constants must begin with a capital letter; ""%s"" does not","Nkọwa-ojieme énwēghị́ḿgbánwè ga-ebido na mkpụrụ edemede nke ukwu; ""%s"" enweghị"
"Constant ""%s"" has already been defined","A kọwalá́árị́ị̀ ""%s"" enweghịmgbanwe"
"No ""%s"" attribute on element","Enweghị""%s"" átrībúùtù n'elementị"
Line %d character %d: %s,Ahịrịokwu %d mkpụrụokwu %d: %s
"Attribute ""%s"" repeated twice on the same element","Átrībúùtù ""%s""megharịrị ugboro abụọ n'otu elementị ahụ"
"Attribute ""%s"" is invalid on element in this context","Átrībúùtù ""%s"" enweghị isi n'elementị n'ihe nghọta a"
"Could not parse ""%s"" as an integer","Enweghị ike ịtọsasị ""%s"" dịka ịntiga"
"Did not understand trailing characters ""%s"" in string ""%s""","Aghọtaghị ǹsòchọ̀ mkpụrụokwu ""%s"" n'ahịrịokwu ""%s"""
Integer %ld must be positive,Intiga %ld ga-abụrịrị eziokwu
"Integer %ld is too large, current max is %d","Intiga %ld buru nnukwu ibu, max ọfụụ bụ %d"
"Could not parse ""%s"" as a floating point number","Agaghị atọsasịnwu ""%s"" dịka ọnụọgụgụ pọintị n'ehugharị"
"Boolean values must be ""true"" or ""false"" not ""%s""","Uru boolean ga-abụrịrị ""true""mọọbụ ""false"" ọ bụghị ""%s"""
"Angle must be between 0.0 and 360.0, was %g","Ńkọ́ ga-adịrịrị n'etiti 0.0 na 360.0, bụ %g"
"Alpha must be between 0.0 (invisible) and 1.0 (fully opaque), was %g","Alpha ga-adịrịrị n'etiti 0.0 (ahụghị anya ǹchá n̄chá) na 1.0 (Ahụchaghị anya ọfụma), bụ %g"
"Invalid title scale ""%s"" (must be one of xx-small,x-small,small,medium,large,x-large,xx-large)","Skéèlụ̀ isiokwu na-enweghị isi ""%s"" (ga-abụrịrị otu n'ime xx-small,x-small,small,medium,large,x-large,xx-large)"
"name ""%s"" used a second time","aha ""%s"" e jiri nke ugboro abụọ"
"parent ""%s"" has not been defined","Akọwabeghị ""%s"" perentị"
"geometry ""%s"" has not been defined","Akọwabeghị ""%s"" jiometịrị"
must specify either a geometry or a parent that has a geometry,ga-egosipụta ma ọ bụ jiometịrị ma ọ bụ perentị nwere jiometịrị
"Unknown type ""%s"" on element","Ụdị a na-amaghị ""%s"" na elementị"
"Unknown style_set ""%s"" on element","Style_set a na-amaghị ""%s"" na elementị"
"Window type ""%s"" has already been assigned a style set","Enyego ụdị windo a ""%s"" ọdịdị nhazi"
Element is not allowed below,Anaghị anabata elementị n'okpuru
"Cannot specify both ""button_width""/""button_height"" and ""aspect_ratio"" for buttons",Agaghị ezipụtanwu abụọ ndị a button_width/button_height na aspektị reshio maka bọtịn
"Distance ""%s"" is unknown","Amaghị ""%s"" òtìtè ányá"
"Aspect ratio ""%s"" is unknown","Amaghị ""%s"" aspektị reshio"
"Border ""%s"" is unknown","Amaghị ""%s"" àgbàtà"
"No ""start_angle"" or ""from"" attribute on element","Enweghị ""start_angle"" átrībúùtù na elementị"
"No ""extent_angle"" or ""to"" attribute on element","Enweghị ""extent_angle"" átrībúùtù na elementị"
"Did not understand value ""%s"" for type of gradient","Aghotaghị uru ahụ ""%s"" maka ụdị ḿmákọ́ ụcha"
"Did not understand fill type ""%s"" for element","Aghọtaghị mejuo ụdị ""%s"" maka elementị"
"Did not understand state ""%s"" for element","Aghọtaghị ọnọdụ ""%s"" maka elementị"
"Did not understand shadow ""%s"" for element","A ghọtaghị inyogo ""%s"" maka elementị"
"Did not understand arrow ""%s"" for element","A ghọtaghị árò ""%s"" maka elementị"
"No <draw_ops> called ""%s"" has been defined","Enweghị <draw_ops> ọ̀kpụ́kpọ́ ""%s"" akọwarala"
"Including draw_ops ""%s"" here would create a circular reference","Itinye draw_ops ""%s"" ebe a ga-ekewapụta gburugburu nrụaka"
"Unknown position ""%s"" for frame piece","Ebe a na-amaghị ""%s"" maka fréém píìsì"
Frame style already has a piece at position %s,Ọdịdị fréèmù ènwéláàrị́ị̀ píìsì n'ebe %s
"No <draw_ops> with the name ""%s"" has been defined","Enweghị <draw_ops> ya na aha ""%s"" akọwarala"
"Unknown function ""%s"" for button","Amaghị nrụọrụ ""%s"" maka bọtịn"
"Unknown state ""%s"" for button","Amaghị ọnọdụ ""%s"" maka bọtịn"
Frame style already has a button for function %s state %s,Ọdịdị fréèmù ènwéláàrị́ị̀ bọtịn maka %s ọnọdụ nrụọrụ %s
"""%s"" is not a valid value for focus attribute","""%s"" abụghị uru nwereisi maka fókọ́ọ̀sụ̀ átrībúùtù"
"""%s"" is not a valid value for state attribute","""%s"" abụghị uru nwereisi maka ọnọdụ átrībúùtù"
"A style called ""%s"" has not been defined","Ọdịdị a na-akpọ ""%s"" akọwabeghị ya"
"""%s"" is not a valid value for resize attribute","""%s"" abụghị uru nwereisi maka átrībúùtù mmegharị ụhara"
"Should not have ""resize"" attribute on element for maximized/shaded states","Agaghị enwe ""resize"" átrībúùtù na elementị maka ọnọdụ mbawanye/shédèèdị̀"
"Should not have ""resize"" attribute on element for maximized states","Agaghị enwe ""resize"" átrībúùtù na elementị maka ọnọdụ mbawanye/shédèèdị̀"
Style has already been specified for state %s resize %s focus %s,Ezipụtala ọdịdị maka ọnọdụ %s megharịa ụhara %s fókọ́ọ̀sụ̀ %s
Style has already been specified for state %s focus %s,Ezipụtala ọdịdị maka ọnọdụ %s fókọ́ọ̀sụ̀ %s
"Can't have a two draw_ops for a <piece> element (theme specified a draw_ops attribute and also a <draw_ops> element, or specified two elements)","Agaghị enwenwu draw_ops abụọ maka <piece> elementị (isiokwu zipụtara átrībúùtù draw_ops nakwa <draw_ops> elementị, mọọbụ elementị abụọ ndị ezipụtarala)"
"Can't have a two draw_ops for a <button> element (theme specified a draw_ops attribute and also a <draw_ops> element, or specified two elements)","Agaghị enwenwu draw_ops abụọ maka <button> elementị (isiokwu zipụtara átrībúùtù draw_ops nakwa <draw_ops> elementị, mọọbụ elementị abụọ ndị ezipụtarala)"
"Can't have a two draw_ops for a <menu_icon> element (theme specified a draw_ops attribute and also a <draw_ops> element, or specified two elements)","Agaghị enwenwu draw_ops abụọ maka <menu_icon> elementị (isiokwu zipụtara átrībúùtù draw_ops nakwa <draw_ops> elementị, mọọbụ elementị abụọ ndị ezipụtarala)"
Outermost element in theme must be <metacity_theme> not,Elementị kempụtacha n'isiokwu ga-abụ <metacity_theme> ọbụghị
Element is not allowed inside a name/author/date/description element,Anabataghị elementị n'ime aha/odee/ụbọchị/elementị nkọwa
Element is not allowed inside a <constant> element,Anabataghị elementị n'ime <constant> elementị
Element is not allowed inside a distance/border/aspect_ratio element,Anabataghị elementị n'ime /agbata/aspect_ratio elementị dị anya
Element is not allowed inside a draw operation element,Anabataghị elementị n'ime drọ́ọ̀ usoroomumeihe elementị
Element is not allowed inside a element,Anabataghị elementị n'ime elementị
No draw_ops provided for frame piece,Enweghị draw_ops ewepụtara maka fréèmụ̀ píìsì
No draw_ops provided for button,Enweghị draw_ops ewepụtara maka bọtịn
No text is allowed inside element,Enweghị ngwe anabatara n'ime elementị
specified twice for this theme,<name> ezipụtara ugboro abụọ maka isiokwu a
Failed to find a valid file for theme %s,Ọdịda fdopen() n'ị́lọ̄ọ̀gụ̀ faịlụ %s: %s
Theme file %s did not contain a root <metacity_theme> element,Faịlụ isiokwu %s enweghị mgbọrọgwụ <metacity_theme> elementị
/_Windows,/_Windo ndị ahụ
/Windows/tearoff,/Windo ndị ahụ/emepụ
/Windows/_Dialog,/Windo ndị ahụ/_Dayalọ́ọ̀gụ̀
/Windows/_Modal dialog,/Windo ndị ahụ/_Módáàlụ̀ dayalọ́ọ̀gụ̀
/Windows/_Utility,/Windo ndị ahụ/_iheọrụ
/Windows/_Splashscreen,/Windo ndị ahụ/_inyogo nzipụta ọpụọ
/Windows/_Top dock,/Windo ndị ahụ/_elu dọ́ọ̀kụ̀
/Windows/_Bottom dock,/Windo ndị ahụ/_okpụrụ dọ́ọ̀kụ̀
/Windows/_Left dock,/Windo ndị ahụ/_akaekpe dọ́ọ̀kụ̀
/Windows/_Right dock,/Windo ndị ahụ/_akanri dọ́ọ̀kụ̀
/Windows/_All docks,/Windo ndị ahụ/_dọ́ọ̀kụ̀ niile
/Windows/Des_ktop,/Windo ndị ahụ/Des_ktọ́ọ̀pụ̀
Open another one of these windows,Mepee ọzọ windo niile ndị a
This is a demo button with an 'open' icon,Nke a bụ demo bọtịn nwere aịkọn 'mepere emepe'
This is a demo button with a 'quit' icon,Nke a bụ demo bọtịn nwere aịkọn 'nkwụsị'
