,en,ig
8299,it was a mistake,Ibe akpachapụrọ anya welụ gbu ewu m madụ kama ọ ghọlụ ya aghọ
8300,mistake,ọghọm
8301,mishap,ọghọm
8302,show a loss,ọghọm
8303,suffer loss in trade,ghọ afịa
8304,Nne Joy has stopped her fish trade because it has shown a loss,Nne Joy akwụsigo m gbele azụ maka na ọ ghọgo ya afịa
8305,loss,ọghọm
8306,catch,ghọ
8307,catching,ọghụghọ
8308,I am going to catch what he is going to drop for me from the top of the tree,Ana m eje ịghọ ife ọ na-achọ ịtụpụlụ m site n'enu osisi
8309,catch something falling,ghọdo
8310,catch,ghọlụ
8311,catch,ghọ
8312,Catch what he is going to throw to you,Ghọlụ ife ọ na-achọ ịtụpụlụ gị
8313,pick,Ghọlụ ife ọ na-achọ ịtụpụlụ gị
8314,pluck fruit,Ghọlụ ife ọ na-achọ ịtụpụlụ gị
8315,pick,ghọta
8316,pluck,ghọta
8317,snatch at,ghọta
8318,collect dripping liquid,ghọta
8319,I want to use a plate to collect the water dripping on the floor,Achọlụ m iji afele welụ ghọta mmili na-atụsịsị n'anị
8320,understand,Achọlụ m iji afele welụ ghọta mmili na-atụsịsị n'anị
8321,understand well,ghọdo
8322,I want you to understand what I am saying well,Achọlụ m ka ị ghọdo ife m na-ekwu ọfụma
8323,I did not quite get what you were saying in the morning because I was in a hurry when you were speaking,Aghọdosịrọ m okwu ị na-ekwu n'ụtụtụ maka na ana m akụ mgbanụ ọge ị na-ekwu okwu
8324,understand,ghọta
8325,I want you to understand my word,Achọlụ m ka ị ghọta okwu m
8326,I have understood what you are teaching me,Aghọtago m ife ị na-akụzili m
8327,understanding,nghọta
8328,change,ghọ
8329,develop into,ghọ
8330,become,ghọ
8331,changing,ọghụghọ
8332,change,ghọlụ
8333,develop into,ghọlụ
8334,become,ghọlụ
8335,The rash on Iwu's body has developed into leprosy,Akpụkpa dị n'arụ Iwu aghọlụgo ọya ọcha
8336,play trick,ghọ
8337,trick,ghọ
8338,work deceit,ghọ
8339,What trick are you up to there?,Kedụ ife ị na-aghọ ebe afụ?
8340,be cunning,ghọ aghụghọ
8341,deceive,ghọ aghụghọ
8342,work deceit,ghọ aghụghọ
8343,play trick,ghọ aghụghọ
8344,trick,ghọ aghụghọ
8345,trick someone into missing something elsewhere,ghọdo
8346,confuse,ghọgbu
8347,play trick on someone,ghọgbu
8348,"""deceive"" by exerting pre-natal influence on child to resemble oneself. If a pregnant woman keeps constant company with another person",ghọlị
8349,during much of the pregnancy,ghọlị
8350,the child is very likely to resemble that person when born,ghọlị
8351,"Ọbịageli ""deceived"" Ada while Ada was in the womb",Ọbịageli ghọlịlị Ada ọge a dị ime Ada
8352,"Ọbịageli ""deceived"" Ada while Ada was in the womb",ị fụrọ etu Ada s�l� yi ya?
8353,don't you see how Ada resembles her?,Ọbịageli ghọlịlị Ada ọge a dị ime Ada
8354,don't you see how Ada resembles her?,ị fụrọ etu Ada s�l� yi ya?
8355,cook,ghu
8356,boil,ghu
8357,cook,si
8358,boil,si
8359,cooking,ọghughu
8360,What are you preparing to boil?,Gịnị ka ị na-achọ ighu?
8361,plucking out,ọghụghụ
8362,extraction,ọghụghụ
8363,Are you going to pluck out my eye?,I jekọ ịghụ m anya?
8364,pluck out,ghụlụ
8365,extract,ghụlụ
8366,bath,ghụ
8367,against,gi de
8368,against,ji de
8369,against,de
8370,speak against,kwugide
8371,They are speaking against him,Fa na-ekwugide ya ekwugide
8372,act against,megide
8373,seize,nwụde
8374,throw in wrestling,nwụde
8375,catch  red-handed,nwụde
8376,disorder,gidigidi
8377,trouble,gidigidi
8378,disorder,gidigidi
8379,trouble,gidigidi
8380,There is great trouble in this house.,Ụnọ a na-ada gidigidi
8381,When this thing happened all the people were running helter-skelter,Oge ife a melụ mmadụ niine wee na-agba gidigidi
8382,you and I,mụ na gị
8383,yours,ṅke gị
8384,thine,ṅke gị
8385,He is telling you,Ọ na-agwa gị
8386,catch hold of,gịgado aka
8387,thinness,gịlịgịlị
8388,slightness,gịlịgịlị
8389,slenderness,gịlịgịlị
8390,what?,gịnị?
8391,what? what then?,gịnị zị?
8392,what happened?,gịnị melụ?
8393,for what? for what reason?,maka gịnị?
8394,what?,ọ gịnị?
8395,buy,go
8396,hire,go
8397,buy together,gokọ
8398,buy all,gokọlụ
8399,buy,golu
8400,hire,golu
8401,buy from,gote
8402,buy for someone,gotelụ
8403,give a reward or inducement,go
8404,give a reward or inducement,go ṅgo
8405,He has arrived,Ọ natago
8406,It has finished,Ọ gwụgo
8407,Good morning,Ị pụtago ụla
8408,upwards,go
8409,Students are pushing Obele's car up the hill.,Ụmụ akwụkwọ na-akwago moto Obele enu ugwu
8410,I saw Chioma going upwards in the direction of the school.,Afụ m Chioma ka ọ na-agbago ụzọ ụnọ akwụkwọ
8411,I saw Uzoma climbing up the wall,Afụ m Uzoma ka ọ na-alịgo aja
8412,make a noise,gọ
8413,bewail,gọ akwa
8414,lament,gọ akwa
8415,rejoice,gọli
8416,make a joyful noise,gọli
8417,be coy,gọ
8418,hesitate to grant a favour which one actually wants to grant,gọ
8419,be coy,gọ iru
8420,hesitate to grant a favour which one actually wants to grant,gọ iru
8421,first,go du
8422,beforehand,go du
8423,preceding,go du
8424,first,du
8425,beforehand,du
8426,preceding,du
8427,Come and see me first before going to the market,Bịagodu fụ m tupu ị jebe afịa
8428,Wait first,Cheegodu
8429,fish,gogọgo
8430,wateriness,gologolo
8431,wateriness,ghọlọghọlọ
8432,I want a watery soup,Achọlụ m ofe dị gologolo
8433,show,go-si
8434,He has shown himself,O gosigo onwe ya
8435,He is going to show him Ọfọ's house,Ọ na-eje igosi ya ụnọ Ọfọ
8436,He is going to show him Ọfọ's house,Ọfọ's
8437,revelation,ngosi
8438,show,ngosi
8439,teach,mụgosi
8440,He is teaching him how liquid pap is prepared,Ọ na-amụgosi ya etu e si egbe akamu
8441,deny,gọ
8442,deny,gọ agịgọ
8443,deny,agụgọ
8444,deny,gọ agọ
8445,deny,gọnarị
8446,worship,gọ
8447,worship a deity,gọ alụsị
8448,offer kolanuts to the ancestors or deities,gọ ọjị
8449,worship spirits,gọ mmụo
8450,They are worshipping spirits,Fa na-agọ mmụo
8451,worshipping spirits,ịgọmmụọ
8452,bless with ọfọ,gọ ọfọ
8453,the symbol of authority,gọ ọfọ
8454,bless with ọfọ,ọfọ
8455,the symbol of authority,ọfọ
8456,bless,gọzi
8457,invoke a blessing,gọzi
8458,blessing,ngọzi
8459,female name,ngọzi
8460,be related by marriage,gọ
8461,perform duties of a relation by marriage,gọ ọgọ
8462,in-law,ọgọ
8463,relative by marriage,ọgọ
8464,mother-in-law,ọgọ nwaanyị
8465,female relative by marriage,ọgọ nwaanyị
8466,father-in-law,ọgọ nwoke
8467,male relative by marriage,ọgọ nwoke
8468,make,gọ
8469,be bent,gọ
8470,make,ngọ
8471,be bent,ngọ
8472,pull crooked,dọgọ
8473,bend by beating,tigọ
8474,The blacksmith is beating the spike to bend it,Ụzụ na-etigọ mkpịsị
8475,see gwu,gu
8476,see gwu,gwu
8477,be damp,gu
8478,be damp,gu mmili
8479,count,gụ
8480,read,gụ
8481,figures,ọgụgụ
8482,number,ọgụgụ
8483,counting,ọgụgụ
8484,reading,ọgụgụ
8485,recitation,ọgụgụ
8486,numbering,ọnụ ọgụgụ
8487,the Book of Numbers,ọnụ ọgụgụ
8488,read through,gụda
8489,misread,gụf�e
8490,add up,gụkọta
8491,reckon,gụkọta
8492,count,gụkọta
8493,read deeply,gụm�
8494,read again,gụnwụ
8495,add,gụnye
8496,reckon,gụnye
8497,count in,gụnye
8498,Have you counted them in the group?,fị gụnyego fa?
8499,reckon as,gụnye na
8500,account,gụnye na
8501,count,gụ ọnụ
8502,reckon,gụ ọnụ
8503,count out,gụpụ
8504,read out forcefully,gụsi ike
8505,read for a long time,gụte aka
8506,an uncountable number,agụkata agba awarị
8507,desire,gụ
8508,like,gụ
8509,want,gụ
8510,need,gụ
8511,hunger,gụ agụụ
8512,desire,gụ agụụ
8513,long for,gụ agụụ
8514,be hungry,gụ
8515,be thirsty,gụ
8516,She is thirsty,Mmili na-agụ ya
8517,want to live,gụ
8518,want to die,gụ
8519,You don't want to give way properly to the lorry,fị chọrọ ịchalụ moto ọfụma
8520,You don't want to give way properly to the lorry,ọ dị ka ọnwụ ọ na-agụ gị?
8521,it seems you want to die?,fị chọrọ ịchalụ moto ọfụma
8522,it seems you want to die?,ọ dị ka ọnwụ ọ na-agụ gị?
8523,bring,gụ
8524,fetch,gụ
8525,pick out,gụ
8526,rescue,gụpụta
8527,He rescued him from drowning,Ọ gụpụtalị ya na mmili
8528,fetch fire,gụta ọkụ
8529,see gwụ,gụ
8530,see gwụ,gwụ
8531,give name to,gụ
8532,name,gụ
8533,name,gụ afa
8534,give a name,gụ afa
8535,namesake,agụ
8536,lose voice,gụ
8537,lose voice,gụ
8538,embrace,gụ
8539,grip,gụ
8540,enclose in arms,gụ
8541,soothe,gụ-gụ
8542,hush,gụ-gụ
8543,comfort,gụ-gụ
8544,She is soothing  to make it stop crying,Ọ na-agụgụ ya akwa
8545,soothe,gụgụta
8546,comfort,gụgụta
8547,soothe to make stop crying,gụgụta
8548,tell,gwa
8549,Tell me why you did not come yesterday,Gwa m ife melụ ị bịarọ ụnyaafụ
8550,He wants to tell me something,ọ chọ igwa m ịfe
8551,telling,ọgwụgwa
8552,slander  to death,gwagbu
8553,curse bitterly,gwagbu
8554,tell again,gwaghalị
8555,reply,gwakwụlụ
8556,address,gwa okwu
8557,hint to a person,gwata
8558,mix,gwa
8559,mixing,ọgwụgwa
8560,mix,gwa agwa
8561,mix gari,gwa garị
8562,mix wine with water or other wine,gwa mmanya
8563,mix properly,gwazi
8564,revenge,gwa
8565,avenge,gwa
8566,pull apart,gwa ọchụ
8567,revenge,kụgwa
8568,avenge a beating,kụgwa
8569,revenge,megwa
8570,avenge,megwa
8571,I will take vengeance for what he did to me,Aga m emegwa ya ịfe ọ melụ m
8572,revenge,tigwa
8573,avenge beating,tigwa
8574,If he beats you,Ọ bụlụ na o tie gị ịfe
8575,If he beats you,tigwalụ ya
8576,beat him back,Ọ bụlụ na o tie gị ịfe
8577,beat him back,tigwalụ ya
8578,pound,gwe
8579,grind,gwe
8580,pounding,ogwugwe
8581,pound well,gwel�
8582,pound corn,gwe ọka
8583,pound all,gwesị
8584,grinder,ṅgwe
8585,apparatus,ṅgwe
8586,machine for grinding,ṅgwe
8587,weak flabbiness,gwegelegwegele
8588,move in a weak,tụ gwegelegwegele
8589,flabby way,tụ gwegelegwegele
8590,into pieces,gwo
8591,into pieces,li
8592,break into pieces,tigwo
8593,mix,gwọ
8594,cure,gwọ
8595,curing,ọgwụgwọ
8596,work sickness or death by means of magic or poison,gwọ nsị
8597,make poison or medicine,gwọ ọgụ
8598,make poison or medicine,ọgwụ
8599,cure disease,gwọ ọya
8600,keep oneself awake by using kolanuts,gwọ ụla
8601,drugs,gwọ ụla
8602,etc.,gwọ ụla
8603,praise name for a native doctor . Native doctors sometimes sip or chew certain medicines in the mouth,dibịa ọkpụlụ ọgwọọ
8604,then spit it on any part of the patient's body,dibịa ọkpụlụ ọgwọọ
8605,or in the air,dibịa ọkpụlụ ọgwọọ
8606,following this sometimes by incantations,dibịa ọkpụlụ ọgwọọ
8607,panacea,ọgwọ ṅnụ ọya
8608,medicine capable of curing all diseases,ọgwọ ṅnụ ọya
8609,panacea,400
8610,medicine capable of curing all diseases,400
8611,snore,gwọ ụla
8612,sit with the lower limbs twisted and drawn up,gwọ
8613,as a lame person or as Moslems during prayer,gwọ
8614,sit with the lower limbs drawn up,gwọ
8615,be seated on flat surface  and unable to stand,gwọlụ
8616,food prepared by mashing together different kinds of food,ṅgwọlụ ṅgwọlụ
8617,food prepared by mashing together different kinds of food,ṅgwọlụ gwọ
8618,shredded cassava mashed with ụkwa or okwe,akpụ a gwọlụ agwọ
8619,shredded cassava mashed with ụkwa or okwe,ụkwa
8620,shredded cassava mashed with ụkwa or okwe,okwe
8621,be flexible,gwọ agwọ
8622,pliant,gwọ agwọ
8623,This tree is flexible,Osisi a gwọlụ agwo
8624,speak in metaphor or slang unintelligible to an outsider,gwọ ile
8625,scrape,gwọ
8626,scoop out,gwọ
8627,scrape,ghụ
8628,scoop out,ghụ
8629,scraping,ọgwụgwọ
8630,scooping out,ọgwụgwọ
8631,take all the meat,gwọ ofe
8632,etc.,gwọ ofe
8633,of soup at expense of others,gwọ ofe
8634,dig,gwu
8635,dig,gu
8636,digging,ogwugwu
8637,dig in the wrong direction,gwuf�e
8638,dig deep inside,gwum�
8639,make a barn of yams,gwu ọba
8640,dig up,gwupụte
8641,dig around,gwurube
8642,He is digging holes around the tree,Ọ na-egwurube anị n'ukwụ osisi
8643,dig up,gwute
8644,harvest yams,gute ji
8645,dig,gwụ uny�
8646,mine coal,gwụ uny�
8647,swim,gwụ
8648,swimming,ogwụgwụ
8649,swim across,gwufe
8650,swim,gwụ mmili
8651,play,gwụ
8652,play,gwụ egwu
8653,play about,gwụli egwu
8654,play,ngwụli
8655,fun,ngwụli
8656,play with someone,gwụso egwu
8657,finish,gwụ
8658,finish,gụ
8659,ending,ọgwụgwụ
8660,ending,ngwụsị
8661,finish,gwụcha
8662,end,gwụcha
8663,finish,gwụfọ
8664,leaving a little quantity,gwụfọ
8665,It is just about to run out,Ọ gọfọgo
8666,tire,gwụ ike
8667,be weary,gwụ ike
8668,be tired,gwụ ike
8669,have one's energy sapped,gwụ ike
8670,I am tired of this thing,Ife a agwụgo m ike
8671,or,Ife a agwụgo m ike
8672,This thing has tired me,Ife a agwụgo m ike
8673,finish,gwụsị
8674,ending,ngwusị
8675,ending,ọgwụgwụ
8676,She will come here towards the ending of the year,Ọ ga-abịa ebe a na ngwụsị arọ
8677,inexhaustible,agwụ agwụ
8678,tiredness,ike ọgwụgwụ
8679,they,ha
8680,them,ha
8681,they are coming tomorrow,Ha ga-abịa echi
8682,They are coming tomorrow,Aga ha abịa echi
8683,they are  cooking some meat,Ha na-esi anụ
8684,they are  cooking some meat,Ana ha esi anụ
8685,oh,haa
8686,leave me alone,hafum aka
8687,leave,hapụ
8688,leave it,hapụrụ
8689,oh,hei
8690,tie,hie
8691,mind you behave yourself,hie aka n'anya
8692,have a nice sleep,hie ura ọfuma/ nkeoma
8693,seen,hula
8694,seen,hulatara
8695,seen it,hula
8696,seen it,hulatara
8697,seen,hụla
8698,Have you ever seen such a thing before?,Ị hụla ihe dị otu a na ndụ gị?
8699,roast,hụọ
8700,see ị,i
8701,would you take?,I gi were?
8702,you are cheating me,I na awo bu mu
8703,do you serve alcohol,I na ele mmanya?
8704,do you speak English?,I na su beke?
8705,do you have any room available?,I nwere ula di?
8706,can you make it lite,I nwereiki me ka o di ufe
8707,can you make it lite,biko?
8708,please?,I nwereiki me ka o di ufe
8709,please?,biko?
8710,can you wake me at ...,I nweriki kpotem na
8711,If you give,I nye
8712,Fever,iba
8713,part,ibe
8714,wanting to cry,ibe
8715,piece of cloth,ibe akwa
8716,crying,ibe akwa
8717,sheet,ibe akwaukwo
8718,piece,ibe akwaukwo
8719,of paper,ibe akwaukwo
8720,a small peice,ibelibe
8721,potsherd,ibelibe ite
8722,splinter,ibelibe nku
8723,2 pieces,ibe naabo
8724,two pieces,ibe naabo
8725,the pot broke into two pieces,Ite afu e tiwalu ibe naabo
8726,plant,ibe nku
8727,piece of wood,ibe nku
8728,a piece of food,ibe nni
8729,Take a piece of food,Welu ofu ibe nni
8730,segment of orange,ibe oloma
8731,part of tree,ibe osisi
8732,in pieces,n'ibe n'ibe
8733,to pieces,n'ibe n'ibe
8734,piece by piece,n'ibe n'ibe
8735,break,wa ibe
8736,smash,wa ibe
8737,into pieces,wa ibe
8738,part,ibe
8739,piece of cloth,ibe akwa
8740,sheet,ibe akwụkwọ
8741,piece,ibe akwụkwọ
8742,of paper,ibe akwụkwọ
8743,a small piece,ibelibe
8744,potsherd,ibelibe ite
8745,splinter,ibelibe nkụ
8746,two pieces,ibe naabọ
8747,The pot broke into two pieces,Ite afụ tiwalụ ibe naabọ
8748,plant,ibe nkụ
8749,piece of wood,ibe nkụ
8750,a piece of food,ibe nni
8751,Take a piece of food,Sụlu ofu ibe nni
8752,diction or cotyledon of kola,ibe ọjị
8753,segment of orange,ibe oloma
8754,part of tree,ibe osisi
8755,in pieces,n'ibe n'ibe
8756,to pieces,n'ibe n'ibe
8757,piece by piece,n'ibe n'ibe
8758,break,wa ibe
8759,smash,wa ibe
8760,into pieces,wa ibe
8761,pledge,ibe
8762,security,ibe
8763,pawn,ibe
8764,hostage,ibe
8765,pledge,gba ibe
8766,give as security,gba ibe
8767,I pawned my goat to Obi,Ejili m ewu gba Obi ibe
8768,I gave my house as security/mortgaged my house,Ejili m ụnọm gbalụ ibe
8769,He insured his life,Ọ gbalụ ndụ ya n'ibe
8770,Am I a pawn at his mercy?,O ji m gba ibe?
8771,hold as hostage,jide n'ibe
8772,He's a hostage,E jidelụ ya n'ibe
8773,bet,E jidelụ ya n'ibe
8774,I lost the bet,Ibe fielụ m
8775,bet,ma ibe
8776,stake,ma ibe
8777,companion,ibe
8778,neighbour,ibe
8779,comrades,ibe anyị
8780,friends,ibe anyị
8781,compatriots,ibe anyị
8782,companions,ibe anyị
8783,relatives and neighbours,ikwu na ibe
8784,kinsfolk and friends,ikwu na ibe
8785,walk in single file,sochi ibe n'azụ
8786,follow immediately behind each other,sochi ibe n'azụ
8787,follow immediately behind or after companions,sochi ibe n'azụ
8788,instrument with cane handle and many cords,ibeli
8789,used for flogging or for killing flies,ibeli
8790,swelling of the scrotum,ibi
8791,hydrocele,ibi
8792,hydrocele,amụ ibi
8793,have hydrocele,da ibi
8794,adult woman,ibili
8795,married woman,ibili
8796,adult woman,ibili achi
8797,married woman,ibili achi
8798,accusing falsely,ibo
8799,placing,ibo
8800,greeting: good morning,ibola chi
8801,greeting: good morning,Ibola chi
8802,metal gong used by town crier,ibome
8803,metal gong used by town crier,ubom
8804,or by titled man on feats days to summon the ancestors,ibome
8805,or by titled man on feats days to summon the ancestors,ubom
8806,load,ibu
8807,load,bu
8808,heavy load,ibu alọ
8809,He is carrying a heavy load,O bụ ibu alọ
8810,weigh heavily,nyị
8811,I am weighed down by a load,Ibu na-anyị m
8812,weigh heavily on,nyịgbu
8813,The load is weighing heavily on the carrier who is carrying our luggage to the lorry,Ibu na-anyịgbu onyebulu na-ebugalụ anyị ibu n'ụgbọ
8814,beast of burden,anụ ibu
8815,donkey,anyịnya ibu
8816,mule,anyịnya ibu
8817,ass,anyịnya ibu
8818,lift a load on to someone's head,bo ibu
8819,pack loads,kwa ibu
8820,belongings,kwa ibu
8821,luggage,kwa ibu
8822,bigness,ibụ
8823,size,ibụ
8824,be big,bụ ibụ
8825,It is big,O bụ ibu
8826,be stout,tu ibụ
8827,missile,iche
8828,stone for throwing or use with catapult,iche
8829,spark,iche ọkụ
8830,throw missile,tụ iche
8831,She wants to throw something at the lizard on the wall,Ọ na-achọ ịtụṅgwele no n'enu aja iche
8832,used in,iche
8833,parrot,iche okụ
8834,difference,iche
8835,apartness,iche
8836,separateness,iche
8837,various,iche iche
8838,different,iche iche
8839,There are different kinds of things in Onitsha market,Ife dị iche iche dị n 'afịa Ọnịcha
8840,live separately,bi iche
8841,be different,dị iche
8842,It is different,Ọ dị iche
8843,a different thing,ife dị iche
8844,different,n'iche n'iche
8845,various,n'iche n'iche
8846,differently,n'iche n'iche
8847,yam which turns red when cut,icheke
8848,see chaleku,icheku
8849,shells of palm nuts,ichele
8850,shells of palm kernels,ichele akụ
8851,marks on body and face,ichi
8852,cut ichi marks,gbu ichi
8853,cut ichi marks,ichi
8854,titled people,Ichie
8855,wise old men,Ichie
8856,chiefs,Ichie
8857,king's counsellors,Ichie
8858,titled people,ndị Ichie
8859,titled people,ndi ichie anị
8860,wise old men,ndị Ichie
8861,wise old men,ndi ichie anị
8862,chiefs,ndị Ichie
8863,chiefs,ndi ichie anị
8864,king's counsellors,ndị Ichie
8865,king's counsellors,ndi ichie anị
8866,post,ide
8867,doorpost,ide
8868,post,iso
8869,doorpost,iso
8870,male name,Idebuani
8871,chief person supporting family,ide ji ụnọ
8872,general name for fish of the family Schilbeidae,ideele
8873,general name for fish of the family Schilbeidae,ịjaarị
8874,flood,idei
8875,flood,ide
8876,torrent,idei
8877,torrent,ide
8878,spate,idei
8879,spate,ide
8880,flood,iji
8881,torrent,iji
8882,spate,iji
8883,The flood has covered the road,Idei likpụlụ ụzọ
8884,heap of sand collected by flood after rain fall,aja idei
8885,trench,ụzọidei
8886,channel,ụzọidei
8887,gutter,ụzọidei
8888,an alusị with a cult,Idemmili
8889,usually with one shrine on the land and another in the water,Idemmili
8890,name of a stream,Idemmili
8891,an alusị with a cult,alusị
8892,usually with one shrine on the land and another in the water,alusị
8893,name of a stream,alusị
8894,Idemmili stream at Obosi,Idemmili Obosi
8895,earthworm,idide
8896,usefulness,idimkpa
8897,"brown ""tailor ant""",ido
8898,warning,idoaka nanti
8899,thing,ife
8900,thing,ịfe
8901,anything,ife
8902,anything,ịfe
8903,possession,ife
8904,possession,ịfe
8905,article,ife
8906,article,ịfe
8907,small edible articles bought by women for their children,ife afịa
8908,weapon,ife agha
8909,weapon,ife aya
8910,abomination,ife alụ
8911,He committed an abomination,Ọ melụ ịfe alụ
8912,sacrilege,Ọ melụ ịfe alụ
8913,token,ife arịma
8914,sign,ife arịma
8915,omen,ife arịma
8916,A significant thing has happened,Ife arịma emego
8917,example,ife atụ
8918,sample,ife atụ
8919,a wonder,ife ebụbe
8920,finery,ife ekike
8921,adornment,ife ekike
8922,domestic animals,ife enunu
8923,cattle,ife enunu
8924,poultry,ife enunu
8925,keep livestock,kpa ife enunu
8926,past event,ife galụ aga
8927,past thing,ife galụ aga
8928,furniture,ife ibi ụnọ
8929,violence,ife ike
8930,prize,ife ine ọlụ
8931,reward,ife ine ọlụ
8932,annoying thing,ife iwe
8933,thing to avoid,ife ize
8934,thing to avoid,ozize
8935,offensive thing,ife ize
8936,offensive thing,ozize
8937,shelter,ife ize ṅdo
8938,surprising thing,ife ịtụn'anya
8939,chance,ife mbelede
8940,accident,ife mbelede
8941,the first thing,ife m bụ
8942,girdle,ife mfiedo
8943,belt,ife mfiedo
8944,covering,ife mgbochi
8945,veil,ife mgbochi
8946,screen,ife mgbochi
8947,suffering,ife mgbu
8948,painful thing,ife mgbu
8949,scorn,ife mkpalị
8950,mockery,ife mkpalị
8951,disrespect,ife mkpalị
8952,offal,ife mkpofụ
8953,painful,ife mwuta
8954,painful,ife mwute
8955,distressing thing,ife mwuta
8956,distressing thing,ife mwute
8957,memorial,ife ncheta
8958,event,ife ndapụta
8959,occurrence,ife ndapụta
8960,inheritance,ife nketa
8961,nothing,ife ṅkịtị
8962,useless,ife ṅkịtị
8963,contemptible thing,ife ṅkịtị
8964,dye,ife nsiji
8965,forbidden thing,ife nso
8966,holy thing,ife nso
8967,bolt,ife ntụchi
8968,accident,ife ṅtụmadị
8969,unexpected,ife ṅtụmadị
8970,sudden thing,ife ṅtụmadị
8971,secret thing,ife ṅzizo
8972,secret thing,ṅzuzo
8973,pattern,ife nomi
8974,example worthy of emulation,ife nomi
8975,something borrowed,ife nnwụta
8976,abdominal discomfort after delivery,ife oghughu
8977,hurt,ife olulo
8978,pain,ife olulo
8979,necklace,ife onu
8980,image,ife onyinyo
8981,likeness,ife onyinyo
8982,resemblance,ife onyinyo
8983,stolen goods,ife ori
8984,whatever,ife ob ụna
8985,anything,ife ob ụna
8986,arms,ife og ụ
8987,weapon,ife og ụ
8988,post-partum haemorrhage PPH,ife og bụgba
8989,menorrhagia,ife og bụgba
8990,changing of state of things for worse,ife og hụgha
8991,bad,ife ọjọo
8992,evil,ife ọjọo
8993,thing or deed,ife ọjọo
8994,anything to be planted,ife okụkụ
8995,something drinkable,ife olịla
8996,tool,ife ọlụ
8997,instrument,ife ọlụ
8998,nice,ife ọma
8999,good thing,ife ọma
9000,something drinkable,ife onụnụ
9001,another thing,ife oz ọ
9002,painful,ife uf ụ
9003,distressing thing,ife uf ụ
9004,abomination,ajo ife
9005,defilement,ajo ife
9006,ignorance,ama ife
9007,be useful,ba n'ịfe
9008,profit,ba n'ịfe
9009,benefit,ba n'ịfe
9010,reckon with,gbanye n'ife
9011,regard,gbanye n'ife
9012,care for,gbanye n'ife
9013,consider,gbanye n'ife
9014,have sense,ma ife
9015,be wise,ma ife
9016,heap of something,oobo ife
9017,heap of something,obụbo ife
9018,whip,pịa ife
9019,flog,pịa ife
9020,punish,pịa ife
9021,chastise,pịa ife
9022,light,ife
9023,civilization,ife
9024,The sun illuminates the world,Anyaanwụ na-enye ụwa ife
9025,be widespread,tiwa
9026,Civilization has become widespread in Nigeria,Ife etiwago na Naijiria
9027,Civilization has become widespread in Nigeria,ndi mmadụ ada agbazilị ibe fa oru
9028,people no longer serve their fellow beings as slaves,Ife etiwago na Naijiria
9029,people no longer serve their fellow beings as slaves,ndi mmadụ ada agbazilị ibe fa oru
9030,come out into the open,pụta ife
9031,be made manifest,pụta ife
9032,not secret,pụta ife
9033,Criminals never want their bad deeds to come out into the open,Ndi na-emebi iwu ada achọ ka ajọife fa na-eme pụta ife
9034,Yam Spirit,Ifejiọkụ
9035,who is worshipped before planting begins and for whom the New Yam Festival  is held,Ifejiọkụ
9036,Yam Spirit,owụwa ji
9037,who is worshipped before planting begins and for whom the New Yam Festival  is held,owụwa ji
9038,to cook food,isi nni Ifejiọkụ
9039,by a girl who is pregnant for the first time and presented to Ifejiọkụ,isi nni Ifejiọkụ
9040,to cook food,Ifejiọkụ
9041,by a girl who is pregnant for the first time and presented to Ifejiọkụ,Ifejiọkụ
9042,shame,ifele
9043,shame,ịfele
9044,shyness,ifele
9045,shyness,ịfele
9046,reserve,ifele
9047,reserve,ịfele
9048,He was too ashamed  to beg,Ifele ekwerọ ya ayọ ayiy ọ
9049,unrestrained,enwe ifele
9050,unabashed,enwe ifele
9051,modesty,iru ifele
9052,blushing,iru ifele
9053,put to shame,me ifele
9054,make ashamed of oneself,menye ifele n'iru
9055,be shy,nwe ifele
9056,restrained,nwe ifele
9057,reserved,nwe ifele
9058,be ashamed,me
9059,The thief was ashamed when he was caught,Ifele melụ onye ori afụ oge fa jidelụ ya
9060,used in,ifi
9061,confess voluntarily to crime,sa ifi
9062,abomination,sa ifi
9063,or other bad deed,sa ifi
9064,small fish with fins,ifụlụ
9065,caught when the Niger falls,ifụlụ
9066,flower,ifulu
9067,blossom,ifulu
9068,flower,igugu
9069,blossom,igugu
9070,blossom,kpọ ifulu
9071,flower,kpọ ifulu
9072,blossom,kpọ igugu
9073,flower,kpọ igugu
9074,blossom,ra ifulu
9075,flower,ra ifulu
9076,timber,igedu
9077,dew,igiligi
9078,twisted foot,igo
9079,used in,igosi
9080,children,ụmụigosi
9081,young children,ụmụigosi
9082,palm-branch,igụ
9083,palm-frond,igụ nkwụ
9084,large size of ọm ụ nkwụ,igụ nkwụ
9085,palm-frond,ọm ụ nkwụ
9086,large size of ọm ụ nkwụ,ọm ụ nkwụ
9087,flower,igụgụ
9088,blossom,igụgụ
9089,flower,ifulu
9090,blossom,ifulu
9091,blossom,kpọ igụgụ
9092,flower,kpọ igụgụ
9093,ladder,igụlụbe
9094,crawling,igbe
9095,crawl,gbe igbe
9096,He is crawling,Ọ na-egbe igbe
9097,bow,igbe
9098,casket,igbe
9099,fish,igbenụ
9100,fish,egbili
9101,gum,igbili
9102,gum,igbi
9103,rub the gums,kwọ igbi
9104,general name for top minnows,igbo
9105,general name for top minnows,igbogidi
9106,family Cyprinodontidae,igbo
9107,family Cyprinodontidae,igbogidi
9108,the Igbo people in general,Igbo
9109,the Igbo language,Igbo
